t	S
[/]	[MPa]
0	115
1	209
2	39
3	-224
4	-118
5	-102
6	-129
7	177
8	209
9	-208
10	-90
11	-229
12	-153
13	-61
14	-3
15	-110
16	39
17	-168
18	41
19	-190
20	8
21	-11
22	-213
23	125
24	-146
25	-117
26	-176
27	-150
28	-64
29	-171
30	177
31	-213
32	-165
33	228
34	93
35	-143
36	83
37	-35
38	-111
39	-188
40	20
41	14
42	199
43	-168
44	-20
45	41
46	59
47	-128
48	-29
49	219
50	-153
51	-214
52	28
53	86
54	-110
55	114
56	50
57	84
58	-169
59	-174
60	-203
61	-223
62	227
63	-71
64	-60
65	132
66	-58
67	-71
68	79
69	105
70	129
71	-200
72	-118
73	141
74	-107
75	-91
76	180
77	229
78	88
79	218
80	46
81	-187
82	62
83	-119
84	-27
85	-122
86	-46
87	-103
88	-109
89	-206
90	6
91	-121
92	-77
93	65
94	-131
95	128
96	-97
97	-40
98	41
99	11
100	-194
101	157
102	20
103	-72
104	76
105	112
106	152
107	-124
108	87
109	-203
110	-127
111	229
112	181
113	-223
114	-71
115	-80
116	180
117	42
118	177
119	-150
120	5
121	43
122	115
123	77
124	220
125	80
126	72
127	8
128	-82
129	136
130	221
131	73
132	13
133	123
134	16
135	34
136	-53
137	-52
138	-5
139	208
140	-219
141	57
142	-137
143	-48
144	5
145	-41
146	92
147	-67
148	77
149	-126
150	20
151	-51
152	38
153	188
154	180
155	-166
156	196
157	189
158	-105
159	-88
160	46
161	189
162	148
163	216
164	-226
165	136
166	-134
167	219
168	-188
169	-135
170	-150
171	78
172	168
173	-135
174	-105
175	217
176	6
177	130
178	125
179	201
180	159
181	-99
182	-96
183	191
184	186
185	-169
186	230
187	-139
188	-59
189	-82
190	-27
191	120
192	-22
193	23
194	163
195	-163
196	-68
197	-93
198	183
199	-23
200	-126
201	172
202	-165
203	33
204	-46
205	-161
206	-92
207	72
208	-163
209	112
210	-62
211	-192
212	19
213	155
214	145
215	153
216	-142
217	49
218	-22
219	210
220	172
221	220
222	-76
223	129
224	-37
225	40
226	159
227	206
228	-56
229	-197
230	81
231	14
232	-37
233	207
234	-20
235	-93
236	122
237	171
238	158
239	206
240	-99
241	178
242	104
243	-39
244	200
245	159
246	-212
247	-146
248	-180
249	128
250	200
251	-196
252	200
253	225
254	86
255	230
256	-32
257	60
258	-61
259	-82
260	161
261	194
262	-169
263	41
264	217
265	-113
266	104
267	-128
268	-170
269	49
270	96
271	99
272	-175
273	172
274	208
275	-169
276	133
277	149
278	194
279	-49
280	-109
281	160
282	-217
283	141
284	177
285	-148
286	156
287	20
288	-31
289	20
290	132
291	212
292	-128
293	121
294	161
295	37
296	58
297	126
298	-191
299	-200
300	209
301	225
302	73
303	-229
304	-143
305	-216
306	201
307	-137
308	91
309	91
310	-193
311	211
312	-141
313	-3
314	123
315	46
316	-28
317	76
318	-151
319	172
320	-132
321	-68
322	-114
323	20
324	109
325	-134
326	203
327	-44
328	146
329	52
330	-75
331	-111
332	80
333	222
334	82
335	129
336	170
337	211
338	-3
339	-31
340	-129
341	83
342	48
343	-143
344	-88
345	-219
346	79
347	169
348	39
349	165
350	-58
351	-211
352	223
353	130
354	-132
355	-57
356	131
357	-222
358	165
359	-106
360	-187
361	148
362	-12
363	195
364	183
365	169
366	-144
367	163
368	112
369	-102
370	11
371	121
372	-198
373	-215
374	74
375	-190
376	1
377	-4
378	186
379	162
380	111
381	116
382	145
383	2
384	-178
385	222
386	-120
387	128
388	-53
389	43
390	-213
391	99
392	-56
393	62
394	97
395	-83
396	-211
397	57
398	207
399	-45
400	-200
401	204
402	-41
403	-128
404	-115
405	132
406	-105
407	114
408	55
409	7
410	69
411	-190
412	-219
413	189
414	161
415	-158
416	202
417	-20
418	-229
419	211
420	-31
421	-44
422	-66
423	216
424	-58
425	62
426	157
427	-125
428	145
429	42
430	185
431	-12
432	121
433	69
434	-80
435	-165
436	10
437	-65
438	-143
439	-42
440	-42
441	224
442	15
443	35
444	-19
445	-57
446	58
447	103
448	-140
449	9
450	-195
451	-114
452	-47
453	-69
454	3
455	8
456	-177
457	87
458	-64
459	-150
460	-113
461	-177
462	108
463	199
464	44
465	-191
466	123
467	222
468	35
469	142
470	-158
471	-146
472	-15
473	123
474	26
475	-65
476	-142
477	216
478	-24
479	-202
480	163
481	159
482	90
483	136
484	-148
485	225
486	-213
487	198
488	45
489	48
490	-46
491	195
492	-18
493	-17
494	-70
495	207
496	49
497	184
498	-116
499	-8
500	-158
501	-165
502	-219
503	-197
504	-74
505	-34
506	181
507	86
508	142
509	61
510	-140
511	-172
512	66
513	49
514	-54
515	155
516	-65
517	-77
518	39
519	0
520	-176
521	-150
522	127
523	-1
524	-163
525	50
526	-129
527	-32
528	-7
529	80
530	-26
531	-112
532	-16
533	152
534	61
535	-26
536	90
537	73
538	-197
539	39
540	133
541	-144
542	-124
543	119
544	-222
545	-75
546	217
547	99
548	-97
549	109
550	100
551	72
552	114
553	-149
554	-70
555	-56
556	-163
557	202
558	186
559	6
560	133
561	-99
562	-44
563	-57
564	-129
565	123
566	-67
567	-16
568	44
569	124
570	209
571	130
572	152
573	-153
574	-167
575	-29
576	-167
577	-69
578	224
579	-106
580	164
581	-149
582	-12
583	91
584	163
585	-197
586	-86
587	177
588	201
589	158
590	94
591	19
592	-227
593	-111
594	-119
595	-96
596	179
597	74
598	133
599	103
600	-148
601	75
602	123
603	29
604	49
605	-108
606	150
607	137
608	217
609	54
610	-24
611	-210
612	115
613	154
614	175
615	62
616	117
617	196
618	13
619	-102
620	-136
621	118
622	32
623	-124
624	-223
625	41
626	-94
627	166
628	-36
629	-41
630	-141
631	-77
632	3
633	141
634	226
635	-36
636	90
637	-221
638	209
639	-154
640	110
641	-58
642	35
643	102
644	177
645	65
646	78
647	105
648	75
649	-36
650	-102
651	-104
652	-106
653	230
654	77
655	59
656	-162
657	173
658	-162
659	-10
660	199
661	6
662	-47
663	155
664	-113
665	-165
666	147
667	156
668	-47
669	-13
670	50
671	-74
672	186
673	-44
674	-96
675	-185
676	40
677	169
678	-28
679	-3
680	-179
681	-219
682	-65
683	-219
684	63
685	82
686	-39
687	-214
688	9
689	192
690	207
691	-182
692	-158
693	208
694	-87
695	161
696	40
697	-221
698	-103
699	-4
700	18
701	-165
702	107
703	-87
704	-36
705	-210
706	-158
707	182
708	44
709	160
710	162
711	150
712	12
713	43
714	-212
715	91
716	147
717	165
718	-226
719	-187
720	42
721	46
722	-125
723	-19
724	-90
725	83
726	145
727	178
728	-87
729	25
730	-170
731	-85
732	132
733	47
734	131
735	71
736	222
737	187
738	167
739	-225
740	-158
741	-130
742	218
743	188
744	147
745	139
746	-94
747	-181
748	-214
749	19
750	159
751	-209
752	-82
753	209
754	-33
755	97
756	-147
757	-130
758	-111
759	1
760	159
761	34
762	-64
763	-59
764	-61
765	228
766	101
767	199
768	145
769	-60
770	114
771	203
772	138
773	-193
774	-66
775	-64
776	-16
777	98
778	168
779	-48
780	-203
781	-202
782	162
783	4
784	133
785	54
786	-106
787	20
788	-157
789	-80
790	-89
791	-218
792	144
793	-30
794	-25
795	-110
796	-48
797	25
798	41
799	129
800	35
801	-182
802	-13
803	-86
804	-185
805	-131
806	165
807	-111
808	68
809	188
810	98
811	1
812	-6
813	161
814	162
815	219
816	-159
817	2
818	-102
819	-89
820	-151
821	224
822	-123
823	40
824	94
825	141
826	160
827	188
828	127
829	8
830	-147
831	79
832	-168
833	-80
834	-88
835	-106
836	-48
837	-200
838	0
839	21
840	-123
841	97
842	53
843	-81
844	-98
845	186
846	153
847	113
848	-169
849	-79
850	83
851	-60
852	49
853	-109
854	-40
855	203
856	-115
857	-100
858	-18
859	-147
860	-83
861	-187
862	-99
863	-47
864	52
865	73
866	166
867	100
868	47
869	-181
870	98
871	-46
872	-25
873	-47
874	49
875	-70
876	74
877	212
878	124
879	12
880	164
881	-72
882	23
883	148
884	154
885	53
886	54
887	-93
888	-119
889	-133
890	-38
891	50
892	5
893	26
894	-83
895	-172
896	224
897	172
898	-36
899	-84
900	-56
901	-106
902	-209
903	206
904	-151
905	158
906	-194
907	-138
908	-120
909	122
910	191
911	169
912	-30
913	160
914	-8
915	187
916	66
917	-132
918	1
919	-32
920	227
921	-63
922	-51
923	157
924	100
925	-223
926	-185
927	-217
928	9
929	214
930	-12
931	8
932	108
933	199
934	-59
935	116
936	218
937	-205
938	-179
939	-69
940	13
941	-220
942	24
943	106
944	-191
945	-217
946	-22
947	149
948	-50
949	95
950	-207
951	-230
952	-227
953	56
954	134
955	-74
956	47
957	-156
958	7
959	-214
960	-117
961	-88
962	-68
963	-216
964	39
965	66
966	220
967	-174
968	196
969	-90
970	-228
971	91
972	-189
973	-152
974	183
975	56
976	211
977	220
978	-22
979	180
980	145
981	119
982	169
983	-112
984	63
985	-33
986	-72
987	-94
988	-93
989	171
990	120
991	169
992	184
993	-39
994	-104
995	-116
996	219
997	1
998	-148
999	227
1000	-112
1001	-2
1002	0
1003	58
1004	179
1005	-167
1006	54
1007	116
1008	-203
1009	-95
1010	21
1011	127
1012	-89
1013	88
1014	18
1015	-25
1016	46
1017	-224
1018	202
1019	187
1020	82
1021	95
1022	-185
1023	17
1024	-138
1025	-18
1026	165
1027	-40
1028	79
1029	14
1030	20
1031	218
1032	227
1033	-100
1034	72
1035	-198
1036	34
1037	-142
1038	86
1039	-177
1040	206
1041	-186
1042	-102
1043	122
1044	165
1045	186
1046	222
1047	133
1048	-1
1049	-61
1050	-29
1051	-190
1052	-120
1053	57
1054	-77
1055	8
1056	203
1057	-38
1058	-194
1059	163
1060	74
1061	-201
1062	46
1063	-11
1064	-27
1065	23
1066	-85
1067	-104
1068	181
1069	226
1070	-73
1071	97
1072	-151
1073	206
1074	-69
1075	14
1076	-69
1077	47
1078	175
1079	122
1080	27
1081	115
1082	59
1083	-202
1084	147
1085	-115
1086	80
1087	6
1088	-58
1089	111
1090	206
1091	44
1092	95
1093	131
1094	-157
1095	59
1096	14
1097	226
1098	-165
1099	101
1100	-67
1101	228
1102	134
1103	0
1104	188
1105	-93
1106	40
1107	83
1108	-36
1109	52
1110	-162
1111	-146
1112	166
1113	-4
1114	-226
1115	-125
1116	-1
1117	167
1118	180
1119	41
1120	-25
1121	12
1122	-68
1123	90
1124	-159
1125	-95
1126	-39
1127	143
1128	-170
1129	-117
1130	135
1131	31
1132	28
1133	-204
1134	88
1135	-198
1136	152
1137	113
1138	212
1139	-127
1140	215
1141	-33
1142	142
1143	217
1144	-31
1145	-150
1146	-118
1147	9
1148	-62
1149	-126
1150	84
1151	-79
1152	89
1153	-127
1154	-45
1155	70
1156	-10
1157	137
1158	-225
1159	-216
1160	-164
1161	108
1162	-166
1163	-76
1164	83
1165	198
1166	-160
1167	-65
1168	103
1169	184
1170	111
1171	130
1172	133
1173	-42
1174	-177
1175	12
1176	65
1177	-83
1178	130
1179	-199
1180	-80
1181	-21
1182	174
1183	4
1184	55
1185	157
1186	222
1187	-123
1188	173
1189	30
1190	64
1191	-156
1192	-126
1193	152
1194	-227
1195	204
1196	-6
1197	190
1198	-168
1199	57
1200	91
1201	225
1202	-65
1203	190
1204	7
