t	S
[/]	[MPa]
0	-87
1	-173
2	-29
3	-89
4	-135
5	211
6	155
7	124
8	63
9	-227
10	-197
11	107
12	159
13	-115
14	-38
15	-42
16	-77
17	71
18	-92
19	210
20	-30
21	37
22	-199
23	-72
24	-17
25	50
26	-124
27	147
28	17
29	-85
30	-128
31	-174
32	98
33	-80
34	-8
35	64
36	211
37	201
38	227
39	-226
40	142
41	207
42	-60
43	-191
44	-71
45	-10
46	-131
47	73
48	215
49	-130
50	34
51	85
52	213
53	-177
54	104
55	230
56	48
57	156
58	112
59	-118
60	67
61	55
62	143
63	-28
64	134
65	197
66	-211
67	216
68	140
69	92
70	144
71	-77
72	-32
73	-53
74	-4
75	50
76	39
77	175
78	211
79	-190
80	211
81	88
82	-135
83	-123
84	142
85	114
86	146
87	97
88	-145
89	26
90	213
91	97
92	-27
93	-131
94	177
95	-222
96	127
97	205
98	148
99	197
100	-184
101	90
102	-185
103	-202
104	-34
105	-4
106	-223
107	-192
108	131
109	-191
110	228
111	29
112	48
113	66
114	190
115	-15
116	43
117	111
118	-201
119	219
120	130
121	-228
122	-107
123	-84
124	120
125	-120
126	107
127	-92
128	72
129	-205
130	-172
131	168
132	156
133	-228
134	-174
135	98
136	93
137	139
138	-74
139	-162
140	-121
141	-183
142	227
143	188
144	-20
145	112
146	197
147	109
148	180
149	-110
150	216
151	150
152	-171
153	48
154	-123
155	-7
156	224
157	153
158	-159
159	-180
160	79
161	-216
162	37
163	-158
164	144
165	-144
166	-108
167	-201
168	174
169	111
170	223
171	-63
172	50
173	230
174	-181
175	-30
176	152
177	-167
178	-168
179	-116
180	-10
181	9
182	-44
183	127
184	60
185	-91
186	81
187	161
188	-27
189	178
190	185
191	-102
192	205
193	-62
194	-25
195	-156
196	-197
197	-19
198	172
199	108
200	-82
201	65
202	142
203	108
204	108
205	132
206	44
207	124
208	-224
209	-57
210	-17
211	-63
212	112
213	-185
214	106
215	126
216	-32
217	116
218	-149
219	-52
220	98
221	172
222	197
223	202
224	-23
225	218
226	-43
227	-47
228	-180
229	-31
230	58
231	-212
232	114
233	221
234	31
235	-169
236	-45
237	115
238	-144
239	159
240	18
241	-176
242	133
243	-178
244	-193
245	178
246	-222
247	127
248	74
249	163
250	66
251	-12
252	214
253	-118
254	228
255	55
256	-31
257	63
258	159
259	113
260	-198
261	211
262	-4
263	141
264	-229
265	-31
266	148
267	146
268	26
269	111
270	155
271	152
272	167
273	214
274	-143
275	73
276	48
277	28
278	5
279	128
280	-34
281	-123
282	135
283	162
284	-215
285	-31
286	34
287	-94
288	-69
289	55
290	152
291	-122
292	-15
293	65
294	-7
295	-21
296	77
297	-43
298	129
299	205
300	171
301	-165
302	-153
303	-74
304	-226
305	151
306	190
307	-13
308	133
309	184
310	-60
311	7
312	-137
313	-98
314	-41
315	-196
316	-217
317	-4
318	67
319	134
320	112
321	-199
322	-214
323	204
324	1
325	-74
326	152
327	-109
328	-118
329	-56
330	19
331	-91
332	27
333	39
334	144
335	181
336	-139
337	-55
338	145
339	72
340	-97
341	149
342	-178
343	-100
344	202
345	80
346	-211
347	43
348	35
349	-70
350	-27
351	176
352	114
353	-97
354	-167
355	7
356	-124
357	78
358	168
359	-218
360	27
361	-69
362	-152
363	161
364	-69
365	-52
366	-222
367	-43
368	190
369	-181
370	55
371	-123
372	-118
373	87
374	-177
375	69
376	100
377	142
378	-106
379	37
380	-227
381	115
382	-16
383	-12
384	-228
385	-123
386	-115
387	58
388	-55
389	-2
390	-158
391	-168
392	79
393	141
394	1
395	61
396	46
397	-75
398	-63
399	138
400	96
401	68
402	57
403	209
404	-60
405	-136
406	193
407	76
408	-224
409	142
410	176
411	-162
412	-229
413	-57
414	51
415	-183
416	219
417	46
418	203
419	201
420	56
421	154
422	28
423	-104
424	139
425	-17
426	159
427	-57
428	91
429	-53
430	71
431	139
432	52
433	98
434	-60
435	50
436	-176
437	65
438	181
439	37
440	-135
441	-139
442	-61
443	29
444	26
445	28
446	-153
447	-119
448	-7
449	84
450	45
451	143
452	111
453	21
454	-33
455	-122
456	-87
