t	S
[/]	[MPa]
0	-127
1	-207
2	-46
3	-106
4	135
5	-37
6	222
7	-224
8	174
9	34
10	-121
11	-63
12	-224
13	-213
14	204
15	208
16	-107
17	197
18	-4
19	-30
20	-58
21	101
22	-98
23	-72
24	-41
25	-225
26	-119
27	-164
28	-202
29	-168
30	215
31	122
32	195
33	42
34	13
35	170
36	174
37	228
38	-23
39	-223
40	-54
41	-102
42	151
43	138
44	-8
45	195
46	130
47	-201
48	88
49	75
50	-152
51	147
52	91
53	-161
54	-120
55	-2
56	64
57	90
58	77
59	125
60	121
61	-201
62	179
63	24
64	-20
65	100
66	211
67	-37
68	-149
69	175
70	65
71	-177
72	140
73	-41
74	-14
75	51
76	39
77	-210
78	-87
79	-71
80	-202
81	-71
82	203
83	-148
84	-194
85	-62
86	-228
87	-178
88	-181
89	151
90	-57
91	-137
92	23
93	43
94	146
95	-165
96	135
97	-122
98	24
99	137
100	4
101	-215
102	-52
103	-157
104	169
105	175
106	16
107	-175
108	171
109	141
110	195
111	0
112	-162
113	-199
114	169
115	-151
116	77
117	111
118	100
119	-59
120	141
121	-76
122	-116
123	200
124	36
125	116
126	134
127	-213
128	181
129	-151
130	-201
131	-47
132	149
133	-70
134	-83
135	62
136	16
137	-189
138	195
139	-20
140	86
141	170
142	-70
143	3
144	171
145	153
146	-103
147	-175
148	6
149	-150
150	-16
151	27
152	143
153	-116
154	-37
155	-144
156	-93
157	195
158	106
159	-73
160	171
161	185
162	209
163	78
164	-107
165	-13
166	-216
167	-149
168	-51
169	-210
170	3
171	121
172	193
173	-105
174	39
175	-204
176	17
177	-42
178	28
179	-134
180	-177
181	-207
182	-177
183	-41
184	-108
185	22
186	57
187	215
188	128
189	158
190	33
191	-185
192	222
193	118
194	165
195	-71
196	-206
197	-188
198	206
199	-228
200	-5
201	103
202	-6
203	-136
204	67
205	-147
206	-74
207	-22
208	-33
209	191
210	-46
211	129
212	67
213	-215
214	-53
215	-175
216	82
217	-125
218	39
219	68
220	-98
221	-159
222	207
223	22
224	-35
225	-73
226	-85
227	209
228	147
229	96
230	154
231	-39
232	-117
233	83
234	24
235	-49
236	179
237	84
238	-208
239	-84
240	29
241	77
242	-197
243	-173
244	99
245	-86
246	-13
247	123
248	-17
249	200
250	-167
251	-223
252	106
253	-19
254	-66
255	80
256	3
257	-207
258	-230
259	-90
260	-122
261	-168
262	70
263	227
264	-2
265	-121
266	90
267	-72
268	155
269	-64
270	117
271	155
272	143
273	-118
274	86
275	141
276	58
277	72
278	-168
279	132
280	-64
281	-38
282	63
283	-158
284	-214
285	-230
286	76
287	173
288	78
289	-88
290	62
291	49
292	208
293	-88
294	-120
295	36
296	183
297	196
298	148
299	157
300	-127
301	-97
302	-62
303	-227
304	45
305	-22
306	72
307	5
308	-123
309	-139
310	-94
311	-123
312	-119
313	38
314	-150
315	184
316	77
317	185
318	-4
319	209
320	82
321	-28
322	-192
323	-19
324	-194
325	96
326	178
327	-35
328	159
329	-228
330	-18
331	-20
332	116
333	-95
334	31
335	36
336	166
337	-72
338	73
339	-199
340	-208
341	167
342	133
343	171
344	31
345	-61
346	8
347	217
348	-200
349	-25
350	102
351	139
352	148
353	-74
354	-144
355	210
356	-174
357	148
358	62
359	-202
360	141
361	-111
362	-109
363	4
364	175
365	-23
366	60
367	157
368	228
369	-68
370	-217
371	44
372	-207
373	70
374	-16
375	174
376	-183
377	-137
378	-96
379	-48
380	-197
381	-211
382	-1
383	20
384	222
385	-77
386	25
387	-67
388	-218
389	-37
390	185
391	1
392	-186
393	186
394	37
395	222
396	-99
397	-60
398	79
399	-4
400	-158
401	23
402	-162
403	229
404	113
405	-85
406	-169
407	-56
408	-30
409	24
410	-108
411	-3
412	-118
413	-86
414	219
415	-228
416	-53
417	55
418	-8
419	38
420	90
421	31
422	166
423	-142
424	-191
425	-119
426	-60
427	223
428	60
429	-12
430	82
431	-219
432	-9
433	-70
434	190
435	-222
436	173
437	-84
438	68
439	-171
440	-165
441	52
442	120
443	-198
444	202
445	-66
446	89
447	-45
448	140
449	146
450	213
451	-73
452	184
453	-122
454	203
455	30
456	228
457	204
458	186
459	212
460	-19
461	36
462	-132
463	138
464	139
465	65
466	-90
467	-147
468	20
469	-111
470	-45
471	-84
472	80
473	155
474	99
475	-70
476	-133
477	221
478	113
479	-165
480	-135
481	-61
482	178
483	-218
484	45
485	-92
486	93
487	150
488	105
489	109
490	-184
491	-168
492	53
493	125
494	-140
495	127
496	104
497	7
498	164
499	192
500	-181
501	-176
502	211
503	-42
504	-196
505	146
506	-75
507	202
508	-57
509	-135
510	-8
511	-46
512	-30
513	123
514	-3
515	-106
516	217
517	199
518	-82
519	200
520	-173
521	-93
522	204
523	-129
524	-169
525	80
526	101
527	192
528	124
529	58
530	-20
531	-103
532	58
533	-88
534	130
535	202
536	-26
537	107
538	-116
539	221
540	228
541	44
542	-219
543	-119
544	-4
545	-129
546	-122
547	-106
548	-40
549	225
550	-198
551	-76
552	120
553	155
554	38
555	131
556	206
557	-143
558	-31
559	36
560	109
561	-81
562	-61
563	-59
564	-169
565	148
566	-227
567	28
568	140
569	187
570	118
571	61
572	-39
573	-139
574	36
575	205
576	44
577	-20
578	-66
579	181
580	-208
581	205
582	-2
583	199
584	-125
585	115
586	-64
587	71
588	-99
589	-157
590	131
591	-10
592	-72
593	28
594	118
595	216
596	-32
597	-165
598	-148
599	179
600	82
601	78
602	-225
603	179
604	27
605	48
606	-44
607	70
608	153
609	-110
610	-91
611	-118
612	101
613	-125
614	-123
615	-10
616	121
617	186
618	-111
619	103
620	-81
621	-229
622	47
623	208
624	-86
625	30
626	-131
627	140
628	-128
629	133
630	-55
631	-163
632	14
633	17
634	-102
635	126
636	5
637	97
638	227
639	195
640	126
641	-153
642	45
643	174
644	-27
645	137
646	133
647	112
648	-183
649	-17
650	165
651	-213
652	42
653	53
654	-185
655	-140
656	230
657	-161
658	-100
659	3
660	-194
661	165
662	-226
663	-215
664	212
665	-83
666	-31
667	42
668	-77
669	136
670	193
671	207
672	-194
673	-35
674	82
675	210
676	-226
677	-70
678	-142
679	-3
680	24
681	195
682	101
683	154
684	31
685	-185
686	177
687	-82
688	20
689	-19
690	-230
691	-119
692	-6
693	94
694	74
695	92
696	-26
697	-120
698	-176
699	-102
700	40
701	-92
702	-221
703	-22
704	-130
705	226
706	142
707	54
708	0
709	-23
710	-225
711	-101
712	118
713	-108
714	103
715	-37
716	25
717	-117
718	-187
719	18
720	73
721	-170
722	-11
723	136
