t	S
[/]	[MPa]
0	-202
1	-215
2	-200
3	173
4	-188
5	117
6	68
7	-64
8	99
9	-110
10	-12
11	-126
12	128
13	-213
14	-30
15	103
16	-124
17	-101
18	49
19	17
20	-23
21	-112
22	-215
23	112
24	108
25	-105
26	-11
27	78
28	75
29	-135
30	-9
31	106
32	216
33	-179
34	226
35	-175
36	-228
37	-87
38	223
39	82
40	-119
41	-143
42	92
43	-41
44	-156
45	149
46	126
47	-8
48	-111
49	-88
50	-17
51	-167
52	12
53	-117
54	24
55	-184
56	-126
57	-41
58	-1
59	-169
60	-77
61	-111
62	119
63	-75
64	165
65	-209
66	-212
67	-93
68	197
69	-73
70	204
71	161
72	-50
73	-11
74	-18
75	-50
76	116
77	-140
78	213
79	-76
80	-12
81	7
82	89
83	-7
84	-73
85	71
86	-74
87	164
88	-161
89	205
90	119
91	126
92	-144
93	113
94	-152
95	226
96	-128
97	-118
98	-220
99	-128
100	38
101	225
102	64
103	-87
104	143
105	159
106	-74
107	147
108	198
109	39
110	-149
111	198
112	-159
113	-7
114	-218
115	-47
116	-143
117	-4
118	185
119	4
120	-107
121	176
122	-79
123	22
124	2
125	221
126	64
127	27
128	-117
129	97
130	181
131	163
132	178
133	8
134	38
135	89
136	204
137	-170
138	-10
139	144
140	77
141	-187
142	45
143	-3
144	38
145	-207
146	184
147	-83
148	-35
149	3
150	-26
151	193
152	-109
153	-129
154	229
155	-28
156	109
157	26
158	-31
159	-177
160	-138
161	39
162	-90
163	223
164	208
165	-114
166	-132
167	-93
168	228
169	36
170	-215
171	-40
172	-228
173	133
174	209
175	-136
176	30
177	-216
178	19
179	98
180	-32
181	16
182	-196
183	83
184	139
185	-27
186	-113
187	114
188	115
189	76
190	-148
191	-50
192	-195
193	-178
194	-47
195	-72
196	-58
197	107
198	-40
199	33
200	-9
201	156
202	-218
203	106
204	-207
205	118
206	119
207	146
208	146
209	185
210	147
211	-60
212	-136
213	28
214	-205
215	212
216	-154
217	78
218	26
219	-104
220	202
221	-131
222	95
223	39
224	-83
225	224
226	-202
227	-27
228	-202
229	40
230	19
231	-129
232	19
233	214
234	-94
235	-88
236	-70
237	210
238	173
239	139
240	-142
241	130
242	171
243	-75
244	-174
245	-148
246	-202
247	88
248	25
249	-122
250	-64
251	199
252	85
253	-131
254	125
255	-55
256	-93
257	-27
258	-156
259	108
260	72
261	-177
262	-153
263	61
264	121
265	-216
266	-186
267	-180
268	-204
269	-90
270	-159
271	94
272	-155
273	-101
274	-159
275	44
276	16
277	5
278	-87
279	184
280	-113
281	-193
282	-115
283	153
284	70
285	-194
286	-150
287	5
288	8
289	-12
290	-92
291	65
292	-53
293	99
294	141
295	113
296	-109
297	100
298	146
299	-85
300	219
301	-166
302	-144
303	-45
304	-214
305	-220
306	-60
307	14
308	-12
309	221
310	12
311	204
312	141
313	89
314	-36
315	9
316	-89
317	88
318	36
319	188
320	-125
321	-17
322	29
323	-204
324	-221
325	-43
326	-123
327	208
328	-99
329	-91
330	-192
331	207
332	-25
333	108
334	194
335	-101
336	-219
337	-94
338	116
339	-148
340	78
341	212
342	202
343	8
344	113
345	46
346	211
347	40
348	-179
349	-168
350	63
351	82
352	198
353	170
354	-83
355	-53
356	205
357	172
358	147
359	11
360	-207
361	-133
362	147
363	198
364	-184
365	-9
366	204
367	-61
368	-218
369	43
370	-119
371	-95
372	216
373	106
374	75
375	184
376	-229
377	-82
378	218
379	178
380	38
381	-136
382	-30
383	87
384	-158
385	63
386	36
387	-81
388	2
389	157
390	229
391	119
392	174
393	-230
394	161
395	214
396	37
397	145
398	-67
399	-208
400	4
401	-202
402	155
403	-25
404	-217
405	157
406	-163
407	-10
408	-90
409	35
410	-33
411	-39
412	-24
413	-98
414	29
415	86
416	-118
417	-150
418	27
419	-165
420	146
421	-27
422	177
423	-50
424	131
425	177
426	-230
427	-16
428	-161
429	31
430	-67
431	188
432	67
433	-176
434	115
435	108
436	-209
437	132
438	-221
439	199
440	224
441	20
442	68
443	37
444	156
445	-226
446	-127
447	86
448	78
449	-146
450	-117
451	50
452	-135
453	155
454	-167
455	187
456	-129
457	87
458	58
459	76
460	-177
461	15
462	209
463	202
464	-218
465	30
466	-172
467	-141
468	-62
469	-176
470	201
471	174
472	-11
473	122
474	113
475	-23
476	114
477	72
478	-212
479	-104
480	42
481	-210
482	-215
483	-66
484	-96
485	103
486	63
487	-167
488	131
489	168
490	136
491	140
492	-160
493	76
494	-173
495	-10
496	36
497	-97
498	47
499	16
500	206
501	-113
502	13
503	183
504	163
505	61
506	2
507	-202
508	5
509	25
510	134
511	166
512	-221
513	116
514	190
515	-83
516	-48
517	13
518	226
519	204
520	101
521	129
522	-142
523	1
524	-53
525	-172
526	-131
527	-162
528	92
529	-92
530	-94
531	159
532	25
533	-12
534	-50
535	24
536	-164
537	-102
538	-224
539	-137
540	-169
541	23
542	45
543	194
544	135
545	-45
546	35
547	165
548	15
549	-134
550	-85
551	165
552	-105
553	-81
554	155
555	2
556	-20
557	-87
558	126
559	220
560	9
561	-58
562	-92
563	-109
564	178
565	-22
566	127
567	230
568	5
569	13
570	-35
571	60
572	38
573	75
574	99
575	-156
576	-184
577	-74
578	-172
579	42
580	-202
581	73
582	-33
583	147
584	112
585	201
586	152
587	229
588	-96
589	219
590	-175
591	5
592	-73
593	215
594	182
595	207
596	181
597	2
598	-207
599	-20
600	184
601	-52
602	-42
603	-162
604	-1
605	181
606	-103
607	-209
608	39
609	206
610	-167
611	-85
612	141
613	-106
614	-14
615	-98
616	190
617	33
618	-169
619	-216
620	-61
621	-18
622	4
623	200
624	178
625	-34
626	50
627	-68
628	160
629	45
630	19
631	9
632	38
633	-24
634	170
635	-137
636	-36
637	-150
638	126
639	-159
640	-89
641	15
642	-10
643	-219
644	-77
645	-27
646	122
647	-27
648	-165
649	-216
650	-112
651	-2
652	83
653	188
654	124
655	170
656	21
657	-82
658	182
659	-32
660	66
661	-155
662	117
663	16
664	106
665	85
666	-88
667	-39
668	60
669	63
670	-184
671	167
672	197
673	197
674	-31
675	192
676	-85
677	-160
678	211
679	-31
680	7
681	-79
682	-79
683	221
684	-81
685	197
686	-185
687	-222
688	-34
689	198
690	-177
691	35
692	-131
693	-30
694	-151
695	217
696	189
697	-112
698	44
699	-140
700	-57
701	-196
702	-128
703	153
704	157
705	-16
706	174
707	-67
708	89
709	230
710	-63
711	224
712	109
713	-26
714	-81
715	5
716	203
717	-183
718	0
719	102
720	112
721	155
722	152
723	-217
724	6
725	-146
726	76
727	-104
728	168
729	-23
730	-174
731	-75
732	-19
733	24
734	123
735	179
736	-68
737	-45
738	70
739	-182
740	110
741	-12
742	217
743	97
744	115
745	-45
746	66
747	-62
748	166
749	-122
750	222
751	-230
752	-68
753	-126
754	69
755	95
756	-200
757	-144
758	42
759	-32
760	-61
761	199
762	-183
763	-41
764	90
765	13
766	-117
767	-129
768	61
769	-22
770	93
771	-118
772	216
773	-153
774	158
775	-141
776	82
777	199
778	-107
779	-142
780	67
781	36
782	-115
783	-219
784	158
785	-213
786	-225
787	-163
788	-148
789	-148
790	129
791	17
792	-72
793	160
794	223
795	181
796	-194
797	219
798	-44
799	-199
800	-162
801	-82
802	-22
803	-125
804	16
805	206
806	-48
807	-113
808	-73
809	-8
810	19
811	-193
812	96
813	81
814	170
815	-28
816	72
817	45
818	195
819	-170
820	-208
821	1
822	189
823	-127
824	-101
825	27
826	-117
827	182
828	166
829	-191
830	178
831	-44
832	-203
833	118
834	155
835	28
836	-147
837	230
838	-192
839	-48
840	20
841	108
842	-67
843	-161
844	119
845	-199
846	-57
847	-164
848	51
849	140
850	-60
851	-120
852	-214
853	202
854	-24
855	-216
856	-212
857	-51
858	-167
859	-29
860	223
861	155
862	-177
863	122
864	141
865	-104
866	11
867	40
868	215
869	43
870	-190
871	-117
872	34
873	33
874	-207
875	-77
876	154
877	164
878	126
879	226
880	37
881	152
882	189
883	-83
884	-146
885	-1
886	75
887	84
888	-143
889	192
890	-2
891	-80
892	210
893	16
894	62
895	17
896	-205
897	98
898	-61
899	209
900	-188
901	-61
902	5
903	-65
904	-170
905	26
906	-76
907	-133
908	-116
909	0
910	179
911	-93
912	213
913	128
914	149
915	-133
916	-174
917	-5
918	79
919	-218
920	-38
921	130
922	-164
923	-203
924	-89
925	198
926	-212
927	-96
928	38
929	229
930	-61
931	-228
932	135
933	48
934	200
935	-117
936	-48
937	81
938	-23
939	170
940	-1
941	117
942	30
943	203
944	-103
945	61
946	-53
947	-35
948	137
949	47
950	16
951	-9
952	-117
953	159
954	128
955	-30
956	90
957	-215
958	-64
959	41
960	20
961	-111
962	-50
963	-218
964	220
965	180
966	-75
967	-15
968	-214
969	153
970	-171
971	-171
972	-136
973	-59
974	-211
975	2
976	151
977	141
978	228
979	-50
980	-11
981	-133
982	159
983	68
984	-165
985	107
986	13
987	224
988	43
989	184
990	58
991	-94
992	175
993	203
994	61
995	143
996	17
997	193
998	29
999	168
1000	167
1001	148
1002	-189
1003	-37
1004	-56
1005	155
1006	136
1007	11
1008	147
1009	33
1010	-199
1011	174
1012	60
1013	19
1014	-146
1015	-185
1016	212
1017	192
1018	-91
1019	-135
1020	146
1021	212
1022	188
1023	203
1024	-221
1025	59
1026	109
1027	142
1028	224
1029	110
1030	63
1031	-71
1032	-215
1033	-114
1034	-88
1035	-167
1036	-174
1037	139
