t	S
[/]	[MPa]
0	-138
1	-54
2	230
3	-36
4	3
5	86
6	-205
7	57
8	-28
9	-197
10	74
11	229
12	-134
13	191
14	111
15	-62
16	118
17	-30
18	199
19	-1
20	113
21	-174
22	-139
23	95
24	-184
25	18
26	-85
27	-73
28	100
29	-52
30	226
31	-214
32	99
33	-134
34	-44
35	168
36	-55
37	-176
38	-37
39	155
40	218
41	-17
42	35
43	-76
44	170
45	-148
46	-197
47	-119
48	-134
49	125
50	-173
51	-201
52	-73
53	-21
54	-173
55	-54
56	88
57	-6
58	78
59	14
60	157
61	156
62	-4
63	171
64	147
65	168
66	-85
67	-2
68	71
69	-158
70	41
71	-9
72	100
73	-100
74	44
75	141
76	97
77	105
78	220
79	-22
80	-158
81	17
82	-125
83	-42
84	-168
85	191
86	-37
87	112
88	-100
89	-104
90	-207
91	-128
92	-229
93	155
94	188
95	-104
96	-193
97	142
98	53
99	-177
100	-54
101	-155
102	10
103	15
104	-182
105	-36
106	164
107	-6
108	-114
109	-86
110	203
111	138
112	175
113	65
114	-211
115	-149
116	173
117	-203
118	-33
119	-137
120	-109
121	-72
122	-36
123	-180
124	-228
125	64
126	-169
127	18
128	-16
129	-124
130	-136
131	21
132	208
133	9
134	224
135	-172
136	73
137	-157
138	-16
139	-195
140	183
141	-210
142	-218
143	212
144	86
145	131
146	-120
147	80
148	227
149	107
150	102
151	-128
152	-95
153	136
154	186
155	-99
156	225
157	-36
158	-115
159	204
160	-126
161	-213
162	-149
163	-114
164	172
165	-12
166	-41
167	11
168	-160
169	22
170	-168
171	-86
172	-87
173	181
174	-15
175	-204
176	27
177	-166
178	-174
179	-210
180	75
181	-222
182	-154
183	-188
184	-68
185	-108
186	-90
187	-111
188	136
189	200
190	-157
191	-7
192	47
193	-92
194	49
195	-165
196	174
197	199
198	-65
199	215
200	-19
201	-218
202	102
203	160
204	187
205	52
206	-206
207	133
208	-161
209	79
210	-108
211	-96
212	-149
213	25
214	229
215	168
216	-144
217	-81
218	120
219	-123
220	-188
221	-96
222	82
223	-134
224	-60
225	220
226	-85
227	13
228	-72
229	4
230	-48
231	74
232	-1
233	-188
234	83
235	-169
236	-207
237	196
238	-125
239	-154
240	-161
241	75
242	-53
243	93
244	213
245	-143
246	77
247	145
248	24
249	134
250	-193
251	-50
252	7
253	-134
254	-77
255	230
256	217
257	219
258	-143
259	-189
260	-41
261	149
262	-96
263	114
264	224
265	221
266	-5
267	114
268	-195
269	158
270	-55
271	-135
272	52
273	76
274	-76
275	-141
276	-178
277	-37
278	-124
279	-207
280	-177
281	-155
282	11
283	112
284	41
285	21
286	-199
287	-123
288	2
289	59
290	183
291	21
292	-18
293	165
294	190
295	-140
296	-183
297	136
298	3
299	-135
300	180
301	-88
302	-107
303	48
304	7
305	207
306	143
307	24
308	202
309	145
310	-22
311	-108
312	78
313	114
314	-146
315	27
316	-180
317	-110
318	-157
319	71
320	53
321	-28
322	-230
323	214
324	130
325	34
326	206
327	17
328	-183
329	149
330	-63
331	-214
332	74
333	-149
334	40
335	94
336	-116
337	-163
338	86
339	-223
340	22
341	206
342	-70
343	-195
344	-101
345	33
346	171
347	47
348	-209
349	-195
350	83
351	-84
352	61
353	189
354	-57
355	151
356	-86
357	-174
358	73
359	40
360	147
361	128
362	99
363	-208
364	-6
365	-33
366	62
367	62
368	-160
369	146
370	-47
371	34
372	166
373	206
374	-95
375	50
376	-163
377	-47
378	85
379	31
380	-105
381	7
382	-184
383	217
384	160
385	-104
386	172
387	12
388	-194
389	155
390	154
391	-80
392	-179
393	91
394	-63
395	-178
396	-185
397	15
398	-96
399	-46
400	-44
401	107
402	-149
403	140
404	21
405	-44
406	220
407	-227
408	165
409	114
410	24
411	-176
412	81
413	100
414	-104
415	-114
416	199
417	-27
418	215
419	-215
420	189
421	-158
422	151
423	93
424	-188
425	140
426	2
427	-12
428	1
429	-150
430	119
431	147
432	58
433	-125
434	-133
435	-221
436	59
437	183
438	209
439	154
440	65
441	-166
442	220
443	-22
444	136
445	117
446	-74
447	-128
448	-17
449	196
450	-78
451	142
452	96
453	202
454	154
455	76
456	-31
457	153
458	-3
459	102
460	-149
461	131
462	-161
463	-80
464	6
465	-91
466	-87
467	-24
468	117
469	-67
470	116
471	15
472	175
473	156
474	194
475	221
476	210
477	-76
478	217
479	-78
480	188
481	127
482	-6
483	-159
484	-155
485	-67
486	-94
487	-19
488	-14
489	176
490	92
491	-62
492	-120
493	-11
494	-73
495	-147
496	69
497	220
498	-96
499	-229
500	148
501	-184
502	217
503	-126
504	-46
505	46
506	10
507	54
508	43
509	-104
510	9
511	-90
512	80
513	114
514	-66
515	18
516	204
517	174
518	167
519	-230
520	-145
521	-69
522	71
523	70
524	-124
525	-195
526	-138
527	-37
528	103
529	134
530	-136
531	-137
532	217
533	57
534	162
535	-207
536	223
537	-117
538	36
539	-129
540	32
541	34
542	-27
543	161
544	45
545	14
546	-53
547	-125
548	149
549	191
550	-108
551	156
552	-109
553	-34
554	-86
555	-14
556	213
557	-94
558	-75
559	-112
560	9
561	-36
562	-22
563	-216
564	-179
565	88
566	226
567	-87
568	-10
569	203
570	-53
571	-207
572	17
573	-103
574	194
575	209
576	132
577	86
578	-76
579	194
580	-6
581	-85
582	75
583	-34
584	102
585	141
586	154
587	-162
588	198
589	179
590	126
591	85
592	1
593	39
594	-175
595	176
596	108
597	-128
598	16
599	78
600	228
601	-10
602	14
603	134
604	58
605	-8
606	-166
607	218
608	88
609	-38
610	-53
611	-65
612	223
613	-46
614	146
615	-112
616	-225
617	-78
618	-86
619	201
620	89
621	-222
622	-102
623	58
624	201
625	7
626	-41
627	-193
628	-23
629	-22
630	30
631	-60
632	112
633	61
634	34
635	-45
636	83
637	194
638	3
639	75
640	-149
641	47
642	72
643	188
644	150
645	137
646	-118
647	-126
648	-96
649	141
650	-132
651	-199
652	-194
653	199
654	206
655	104
656	-105
657	-183
658	146
659	150
660	202
661	125
662	37
663	-187
664	-82
665	38
666	-118
667	-208
668	56
669	177
670	-44
671	42
672	185
673	25
674	-215
675	50
676	80
677	39
678	162
679	100
680	-116
681	-192
682	216
683	-222
684	-228
685	-86
686	143
687	-225
688	110
689	99
690	-142
691	-112
692	10
693	-74
694	-142
695	-203
696	-71
697	50
698	-147
699	-42
700	204
701	200
702	-30
703	-125
704	81
705	174
706	229
707	-60
708	26
709	50
710	105
711	0
712	187
713	-52
714	6
715	-66
716	-153
717	47
718	17
719	-56
720	50
721	141
722	74
723	110
724	-167
725	-26
726	183
727	182
728	-185
729	206
730	-167
731	-147
732	163
733	185
734	15
735	111
736	150
737	-172
738	-190
739	-40
740	-5
741	-211
742	3
743	-94
744	-176
745	-56
746	101
747	56
748	-61
749	-147
750	167
751	197
752	15
753	63
754	64
755	227
756	-60
757	61
758	-175
759	114
760	86
761	-176
762	28
763	-99
764	178
765	-119
766	117
767	152
768	-199
769	-40
770	-125
771	114
772	-227
773	-160
774	184
775	130
776	169
777	3
778	14
779	-211
780	-63
781	-137
782	-214
783	55
784	-137
785	45
786	66
787	-54
788	-173
789	-179
790	-68
791	-186
792	-227
793	124
794	-144
795	-62
796	-149
797	-212
798	-88
799	-76
800	-39
801	-43
802	181
803	42
804	190
805	-170
806	-230
807	-131
808	-219
809	-230
810	67
811	81
812	43
813	-163
814	127
815	-115
816	153
817	212
818	186
819	-77
820	-163
821	39
822	136
823	19
824	-138
825	-87
826	-85
827	84
828	-6
829	-157
830	-15
831	176
832	175
833	-147
834	200
835	-127
836	-57
837	-178
838	132
839	-126
840	86
841	-108
842	65
843	80
844	169
845	-169
846	-196
847	-30
848	19
849	-37
850	112
851	-119
852	193
853	-139
854	-162
855	48
856	132
857	201
858	148
859	114
860	87
861	49
862	98
863	102
864	0
865	36
866	-183
867	40
868	-17
869	-49
870	102
871	8
872	196
873	123
874	38
875	99
876	-106
877	90
878	-103
879	57
880	68
881	27
882	229
883	18
884	205
885	-35
886	-170
887	15
888	81
889	171
890	-104
891	-14
892	31
893	4
894	-89
895	-195
896	-187
897	-186
898	223
899	-208
900	113
901	-34
902	-185
903	192
904	201
905	-225
906	224
907	31
908	-174
909	-22
910	-186
911	192
912	140
913	144
914	52
915	-229
916	-178
917	61
918	85
919	22
920	-105
921	3
922	1
923	-51
924	195
925	-216
926	24
927	84
928	215
929	-224
930	199
931	172
932	136
933	8
934	-112
935	-165
936	67
937	159
938	46
939	140
940	8
941	-37
942	123
943	-203
944	-140
945	164
946	-65
947	43
948	17
949	-38
950	-179
951	-90
952	177
953	53
954	30
955	-214
956	192
957	189
958	-104
959	44
960	-31
961	183
962	-90
963	-110
964	-164
965	3
966	38
967	-111
968	-97
969	-33
970	-4
971	-29
972	98
973	198
974	-99
975	-172
976	-216
977	-86
978	65
979	-185
980	43
981	-213
982	11
983	46
984	-1
985	147
986	-140
987	-11
988	-38
989	-55
