t	S
[/]	[MPa]
0	133
1	-145
2	-208
3	80
4	-45
5	145
6	-53
7	95
8	20
9	-124
10	77
11	128
12	-49
13	226
14	100
15	-2
16	213
17	-72
18	84
19	159
20	-54
21	185
22	-67
23	-139
24	-2
25	193
26	-32
27	142
28	-190
29	-45
30	-100
31	59
32	198
33	44
34	-158
35	121
36	221
37	190
38	-92
39	-11
40	-58
41	170
42	-13
43	143
44	142
45	-130
46	193
47	-38
48	136
49	-138
50	189
51	52
52	-76
53	-116
54	-189
55	-72
56	167
57	-64
58	35
59	225
60	-197
61	147
62	-57
63	-174
64	-52
65	-105
66	209
67	-124
68	-145
69	189
70	-149
71	147
72	16
73	-94
74	130
75	-3
76	128
77	6
78	102
79	198
80	-190
81	-92
82	-38
83	3
84	-158
85	-121
86	-169
87	39
88	33
89	223
90	-83
91	8
92	71
93	-198
94	-97
95	-68
96	149
97	-139
98	193
99	194
100	-128
101	144
102	-217
103	101
104	221
105	-31
106	95
107	-19
108	-135
109	-96
110	-191
111	-45
112	162
113	-205
114	128
115	19
116	3
117	133
118	128
119	-213
120	-84
121	162
122	-43
123	125
124	201
125	-172
126	171
127	-180
128	-96
129	10
130	-82
131	-220
132	18
133	-216
134	-175
135	-163
136	-64
137	-212
138	-141
139	26
140	93
141	131
142	-12
143	183
144	-89
145	-110
146	86
147	-23
148	-49
149	-113
150	130
151	31
152	23
153	-32
154	146
155	52
156	-182
157	108
158	-123
159	152
160	-95
161	69
162	227
163	207
164	228
165	208
166	16
167	99
168	45
169	116
170	-69
171	-167
172	-79
173	21
174	57
175	70
176	210
177	202
178	98
179	-46
180	-109
181	-186
182	-115
183	195
184	49
185	173
186	66
187	-92
188	160
189	197
190	-217
191	133
192	-79
193	169
194	-132
195	38
196	-31
197	115
198	74
199	185
200	-145
201	-212
202	73
203	-95
204	17
205	187
206	-230
207	98
208	-118
209	208
210	-15
211	-57
212	93
213	19
214	-214
215	168
216	131
217	-80
218	-122
219	14
220	-120
221	-104
222	114
223	101
224	70
225	-176
226	210
227	-200
228	163
229	124
230	-151
231	-188
232	2
233	-2
234	-206
235	-124
236	-136
237	119
238	-130
239	-192
240	-110
241	183
242	-100
243	-8
244	-103
245	134
246	70
247	-71
248	-154
249	40
250	208
251	-194
252	212
253	96
254	19
255	-113
256	-114
257	60
258	180
259	25
260	27
261	-220
262	-168
263	147
264	114
265	34
266	18
267	174
268	-30
269	160
270	35
271	-35
272	-110
273	33
274	131
275	-49
276	-193
277	-27
278	-220
279	-140
280	4
281	-110
282	218
283	24
284	-95
285	-9
286	-123
287	30
288	46
289	-43
290	134
291	101
292	15
293	168
294	172
295	4
296	169
297	46
298	-47
299	206
300	129
301	84
302	152
303	31
304	121
305	-10
306	-80
307	197
308	-107
309	175
310	-58
311	79
312	87
313	186
314	-7
315	-158
316	-19
317	-128
318	120
319	-82
320	187
321	-112
322	-173
323	-13
324	-83
325	195
326	210
327	92
328	81
329	-205
330	150
331	118
332	-71
333	-133
334	155
335	156
336	146
337	-152
338	175
339	114
340	6
341	-97
342	188
343	160
344	145
345	106
346	188
347	108
348	-3
349	11
350	80
351	110
352	-176
353	-202
354	-132
355	21
356	-210
357	-106
358	74
359	27
360	-195
361	144
362	157
363	-86
364	29
365	228
366	53
367	5
368	191
369	137
370	-67
371	17
372	52
373	217
374	127
375	87
376	184
377	-93
378	-117
379	-17
380	111
381	-190
382	204
383	147
384	-127
385	177
386	33
387	-214
388	-225
389	218
390	53
391	-44
392	174
393	11
394	-152
395	148
396	-110
397	-187
398	21
399	26
400	6
401	-228
402	55
403	74
404	145
405	-170
406	-114
407	51
408	57
409	-130
410	156
411	60
412	-46
413	-225
414	-93
415	97
416	-175
417	-52
418	149
419	169
420	-136
421	57
422	-201
423	-15
424	-222
425	66
426	205
427	-151
428	34
429	-71
430	-141
431	-17
432	-11
433	101
434	-9
435	-190
436	-47
437	90
438	-119
439	-33
440	-190
441	118
442	-42
443	-155
444	-34
445	145
446	153
447	73
448	-59
449	126
450	53
451	6
452	147
453	159
454	-214
455	-132
456	230
457	98
458	22
459	105
460	-61
461	143
462	-110
463	187
464	51
465	196
466	-105
467	48
468	-40
469	29
470	-38
471	-35
472	140
473	-94
474	100
475	107
476	39
477	-29
478	80
479	-124
480	147
481	118
482	94
483	-145
484	-170
485	-39
486	165
487	-64
488	-73
489	134
490	-113
491	-8
492	203
493	211
494	125
495	46
496	163
497	-166
498	18
499	-197
500	-69
501	184
502	10
503	75
504	-226
505	-10
506	-213
507	188
508	150
509	210
510	-52
511	142
512	118
513	148
514	42
515	224
516	-136
517	-161
518	166
519	-165
520	216
521	61
522	94
523	2
524	-22
525	-77
526	-128
527	179
528	224
529	28
530	-61
531	224
532	184
533	83
534	-17
535	-195
536	-88
537	-7
538	-92
539	57
540	203
541	-40
542	-99
543	196
544	-9
545	-85
546	185
547	-89
548	-216
549	-98
550	-109
551	21
552	-103
553	-73
554	-80
555	226
556	139
557	-23
558	-111
559	119
560	-105
561	-133
562	-146
563	-113
564	121
565	84
566	-25
567	205
568	-8
569	202
570	160
571	-95
572	-9
573	-140
574	-217
575	111
576	53
577	-67
578	-164
579	146
580	143
581	-67
582	-39
583	226
584	-180
585	-133
586	-108
587	-41
588	-145
589	162
590	190
591	42
592	203
593	-129
594	-72
595	95
596	98
597	-53
598	165
599	-84
600	220
601	10
602	166
603	-86
604	-229
605	-119
606	153
607	-204
608	-10
609	-172
610	108
611	126
612	-136
613	-89
614	0
615	86
616	-162
617	-11
618	-108
619	-3
620	117
621	194
622	-204
623	68
624	-18
625	-177
626	-147
627	209
628	119
629	158
630	25
631	153
632	-71
633	156
634	131
635	27
636	216
637	-128
638	130
