t	S
[/]	[MPa]
0	-15
1	-120
2	-226
3	103
4	176
5	25
6	-184
7	101
8	93
9	-23
10	219
11	-188
12	74
13	76
14	37
15	23
16	-159
17	202
18	9
19	-67
20	-82
21	-63
22	-210
23	191
24	46
25	-88
26	97
27	143
28	101
29	15
30	-58
31	70
32	-38
33	-124
34	47
35	-120
36	151
37	-228
38	-31
39	226
40	21
41	183
42	37
43	-226
44	172
45	185
46	228
47	3
48	74
49	-215
50	201
51	77
52	108
53	-181
54	184
55	-101
56	-196
57	-133
58	-212
59	173
60	115
61	-68
62	106
63	-32
64	-64
65	50
66	-114
67	86
68	132
69	195
70	22
71	59
72	-79
73	-13
74	-33
75	227
76	-70
77	-168
78	113
79	161
80	157
81	-125
82	-149
83	61
84	-77
85	83
86	102
87	140
88	-110
89	7
90	-44
91	56
92	-18
93	-217
94	15
95	148
96	84
97	-74
98	-202
99	-71
100	-200
101	105
102	-57
103	-45
104	-225
105	-70
106	-191
107	-207
108	-169
109	12
110	219
111	-43
112	23
113	34
114	11
115	-172
116	-154
117	22
118	-124
119	-195
120	31
121	-155
122	-163
123	-165
124	178
125	149
126	13
127	201
128	68
129	-151
130	-26
131	-132
132	-44
133	-119
134	-3
135	14
136	185
137	215
138	-17
139	-219
140	-36
141	100
142	215
143	-141
144	-143
145	-19
146	49
147	80
148	63
149	64
150	98
151	-22
152	-230
153	-217
154	-229
155	7
156	-171
157	-32
158	71
159	124
160	70
161	143
162	31
163	-58
164	49
165	-78
166	152
167	210
168	-148
169	-118
170	-108
171	63
172	-100
173	-198
174	-211
175	-53
176	-43
177	163
178	-196
179	-19
180	70
181	-12
182	-195
183	-215
184	0
185	-79
186	38
187	173
188	139
189	48
190	-216
191	-208
192	-55
193	-62
194	-11
195	164
196	104
197	-44
198	31
199	143
200	166
201	-179
202	-215
203	129
204	-225
205	-2
206	98
207	200
208	-82
209	-168
210	-151
211	-57
212	-44
213	203
214	127
215	-105
216	186
217	-43
218	149
219	191
220	-91
221	68
222	179
223	167
224	-42
225	-199
226	-230
227	-57
228	-39
229	-87
230	60
231	175
232	230
233	-17
234	133
235	139
236	-205
237	99
238	-188
239	33
240	-14
241	-32
242	215
243	210
244	-152
245	25
246	21
247	-194
248	-171
249	-208
250	178
251	3
252	-85
253	213
254	97
255	180
256	41
257	9
258	-5
259	201
260	-91
261	165
262	-37
263	183
264	87
265	-123
266	145
267	166
268	34
269	117
270	-82
271	-209
272	-54
273	-154
274	-206
275	-47
276	-211
277	127
278	200
279	-156
280	194
281	9
282	219
283	-101
284	-188
285	-226
286	222
287	3
288	-114
289	-154
290	-158
291	190
292	189
293	205
294	-58
295	-6
296	-184
297	43
298	90
299	168
300	179
301	-100
302	-54
303	172
304	-74
305	14
306	138
307	-36
308	69
309	77
310	80
311	-6
312	-61
313	52
314	-215
315	-1
316	121
317	-123
318	-37
319	173
320	-120
321	-207
322	93
323	-183
324	-132
325	-146
326	121
327	-156
328	29
329	-156
330	130
331	-58
332	-171
333	-43
334	-204
335	173
336	-52
337	13
338	-163
339	32
340	79
341	-34
342	99
343	50
344	-72
345	175
346	-170
347	-38
348	112
349	130
350	38
351	-58
352	-27
353	-40
354	199
355	-209
356	229
357	60
358	32
359	221
360	71
361	-80
362	3
363	-203
364	24
365	-107
366	-17
367	-57
368	-188
369	45
370	29
371	29
372	-84
373	-165
374	-220
375	-210
376	-120
377	-104
378	-187
379	30
380	-69
381	133
382	-177
383	9
384	157
385	-95
386	94
387	84
388	86
389	-86
390	222
391	135
392	-101
393	-165
394	-68
395	205
396	-220
397	133
398	-86
399	219
400	48
401	-201
402	-109
403	63
404	139
405	175
406	-20
407	53
408	-33
409	-100
410	-63
411	-11
412	224
413	163
414	173
415	-20
416	-96
417	20
418	213
419	73
420	159
421	42
422	202
423	-63
424	132
425	194
426	-226
427	-59
428	-11
429	-174
430	-22
431	142
432	63
433	-15
434	198
435	-96
436	70
437	4
438	-36
439	147
440	-4
441	37
442	111
443	-202
444	-44
445	-157
446	-95
447	-157
448	-224
449	-90
450	179
451	230
452	-87
453	115
454	-91
455	-85
456	-52
457	95
458	-91
459	64
460	-191
461	143
462	197
463	-177
464	-139
465	-116
466	183
467	-87
468	137
469	-89
470	-199
471	-153
472	-197
473	-174
474	-229
475	9
476	182
477	101
478	-4
479	168
480	137
481	158
482	-172
483	178
484	168
485	203
486	-131
487	-120
488	13
489	11
490	-24
491	27
492	95
493	-137
494	220
495	162
496	198
497	76
498	122
499	142
500	163
501	33
502	94
503	7
504	130
505	201
506	148
507	106
508	-219
509	-83
510	163
511	84
512	-104
513	147
514	3
515	-182
516	-65
517	-169
518	-106
519	-159
520	75
521	-82
522	-9
523	192
524	-12
525	-72
526	-86
527	-117
528	13
529	55
530	-13
531	-15
532	182
533	93
534	182
535	-102
536	-175
537	-142
538	-157
539	-221
540	-99
541	-155
542	122
543	68
544	-35
545	-61
546	200
547	-221
548	-78
549	-148
550	155
551	-164
552	-197
553	16
554	-137
555	199
556	-191
557	74
558	-174
559	39
560	-49
561	-82
562	-32
563	171
564	130
565	128
566	85
567	93
568	-94
569	102
570	227
571	34
572	6
573	-130
574	214
575	-43
576	66
577	-32
578	16
579	-109
580	1
581	-184
582	-42
583	167
584	-10
585	-155
586	170
587	91
588	-111
589	59
590	-26
591	160
592	13
593	-77
594	7
595	185
596	-58
597	-72
598	179
599	110
600	17
601	27
602	-126
603	-116
604	212
605	160
606	-14
607	102
608	-138
609	-92
610	148
611	82
612	-159
613	22
614	11
615	-156
616	-191
617	94
618	204
619	-169
620	107
621	85
622	12
623	-45
624	-223
625	70
626	-141
627	215
628	189
629	201
630	158
631	-67
632	-17
633	-54
634	61
635	15
636	-86
637	196
638	-109
639	108
640	-176
641	-11
642	92
643	-46
644	-42
645	-58
646	47
647	14
648	223
649	109
650	76
651	-208
652	92
653	32
654	-120
655	17
656	182
657	167
658	-202
659	-73
660	146
661	190
662	-39
663	42
664	-105
665	160
666	68
667	-46
668	83
669	-108
670	-217
671	230
672	35
673	-39
674	-72
675	176
676	45
677	-197
678	-36
679	-51
680	-127
681	-98
682	142
683	-18
684	115
685	229
686	92
687	-25
688	45
689	62
690	-161
691	-208
692	-101
693	-103
694	157
695	-43
696	-26
697	171
698	-171
699	92
700	190
701	20
702	-171
703	27
704	-91
705	124
706	81
707	-65
708	-174
709	-25
710	-190
711	153
712	227
713	-45
714	120
715	112
716	225
717	177
718	72
719	-14
720	-119
721	79
722	-58
723	200
724	25
725	40
726	154
727	-44
728	-77
729	-38
730	-47
731	152
732	202
733	31
734	-149
735	-107
736	-84
737	-113
738	-21
739	218
740	63
741	82
742	214
743	-210
744	100
745	149
746	-221
747	-159
748	74
749	-86
750	-167
751	-84
752	178
753	124
754	150
755	-125
756	-186
757	198
758	-32
759	91
760	59
761	130
762	-17
763	-3
764	-190
765	168
766	-192
767	28
768	-44
769	98
770	38
771	185
772	73
773	-51
774	-221
775	-187
776	-227
777	-22
778	200
779	-111
780	-38
781	-8
782	148
783	-125
784	109
785	198
786	203
787	-112
788	-208
789	-143
790	78
791	-92
792	110
793	29
794	194
795	219
796	119
797	-30
798	-24
799	-96
800	132
801	39
802	191
803	-74
804	202
805	38
806	-30
807	-129
808	-31
809	109
810	3
811	-101
812	-168
813	-27
814	-118
815	65
816	166
817	-215
